course question score
c79 q9 6.27
c79 q10 6.45
c79 q11 6.32
c79 q12 5.36
c79 q13 5.64
c79 q14 6.25
c79 q15 6.15
c79 q16 6.5
c79 q17 6.35
c79 q18 6.27
c80 q1 5.75
c80 q2 6.15
c80 q3 5.9
c80 q4 5.65
c80 q5 6.05
c80 q6 6.15
c80 q7 5.53
c80 q8 5.79
c80 q9 6.15
c80 q10 5.9
c80 q11 6.3
c80 q12 5.5
c80 q13 5.6
c80 q14 6.12
c80 q15 6.06
c80 q16 6.2
c80 q17 6.5
c80 q18 5.95
c81 q1 6.57
c81 q2 6.63
c81 q3 6.53
c81 q4 6.64
c81 q5 6.61
c81 q6 6.73
c81 q7 6.5
c81 q8 6.23
c81 q9 6.13
c81 q10 6.59
c81 q11 6.46
c81 q12 6.55
c81 q13 6.16
c81 q14 5.24
c81 q15 5.97
c81 q16 6.79
c81 q17 6.47
c81 q18 6.66
